A = -24714, B= -16923, instruction =  1, F_o= -24714
A =  30740, B=  16159, instruction = 16, F_o= -30741
A =  30740, B=  16159, instruction = 17, F_o=   8079
A =  30740, B=  16159, instruction = 18, F_o=  32318
A =  30740, B=  16159, instruction = 19, F_o= -24689
A = -29901, B= -27923, instruction =  0, F_o=  32318
A = -29901, B= -27923, instruction =  1, F_o= -29901
A = -29901, B= -27923, instruction =  2, F_o= -29900
A = -29901, B= -27923, instruction =  3, F_o=  -1979
A = -29901, B= -27923, instruction =  4, F_o=  -1978
A = -29901, B= -27923, instruction =  5, F_o=   7712
A = -29901, B= -27923, instruction =  6, F_o=   7713
A = -29901, B= -27923, instruction =  7, F_o= -27923
A = -29901, B= -27923, instruction =  8, F_o= -29902
A = -29901, B= -27923, instruction =  9, F_o= -32223
A = -29901, B= -27923, instruction = 10, F_o= -25601
A = -29901, B= -27923, instruction = 11, F_o=   6622
A = -29901, B= -27923, instruction = 16, F_o=  29900
A = -29901, B= -27923, instruction = 17, F_o=  18806
A = -29901, B= -27923, instruction = 18, F_o=   9690
A = -29901, B= -27923, instruction = 19, F_o= -13962
A =    859, B=  14203, instruction =  0, F_o=   9691
A =    859, B=  14203, instruction =  1, F_o=    859
A =    859, B=  14203, instruction =  2, F_o=    860
A =    859, B=  14203, instruction =  3, F_o= -13345
A =    859, B=  14203, instruction =  4, F_o= -13344
A =    859, B=  14203, instruction =  5, F_o=  15062
A =    859, B=  14203, instruction =  6, F_o=  15063
A =    859, B=  14203, instruction =  7, F_o=  14203
A =    859, B=  14203, instruction =  8, F_o=    858
A =    859, B=  14203, instruction =  9, F_o=    859
A =    859, B=  14203, instruction = 10, F_o=  14203
A =    859, B=  14203, instruction = 11, F_o=  13344
A =    859, B=  14203, instruction = 16, F_o=   -860
A =    859, B=  14203, instruction = 17, F_o=   7101
A =    859, B=  14203, instruction = 18, F_o=  28406
A =    859, B=  14203, instruction = 19, F_o= -25667
A =  18316, B=  -5483, instruction =  0, F_o=  28406
A =  18316, B=  -5483, instruction =  1, F_o=  18316
A =  18316, B=  -5483, instruction =  2, F_o=  18317
A =  18316, B=  -5483, instruction =  3, F_o=  23798
A =  18316, B=  -5483, instruction =  4, F_o=  23799
A =  18316, B=  -5483, instruction =  5, F_o=  12833
A =  18316, B=  -5483, instruction =  6, F_o=  12834
A =  18316, B=  -5483, instruction =  7, F_o=  -5483
A =  18316, B=  -5483, instruction =  8, F_o=  18315
A =  18316, B=  -5483, instruction =  9, F_o=  17028
A =  18316, B=  -5483, instruction = 10, F_o=  -4195
A =  18316, B=  -5483, instruction = 11, F_o= -21223
A =  18316, B=  -5483, instruction = 16, F_o= -18317
A =  18316, B=  -5483, instruction = 17, F_o=  30026
A =  18316, B=  -5483, instruction = 18, F_o= -10966
A =  18316, B=  -5483, instruction = 19, F_o=  -2742
A = -15354, B=  10459, instruction =  0, F_o= -10965
A = -15354, B=  10459, instruction =  1, F_o= -15354
A = -15354, B=  10459, instruction =  2, F_o= -15353
A = -15354, B=  10459, instruction =  3, F_o= -25814
A = -15354, B=  10459, instruction =  4, F_o= -25813
A = -15354, B=  10459, instruction =  5, F_o=  -4895
A = -15354, B=  10459, instruction =  6, F_o=  -4894
A = -15354, B=  10459, instruction =  7, F_o=  10459
A = -15354, B=  10459, instruction =  8, F_o= -15355
A = -15354, B=  10459, instruction =  9, F_o=      2
A = -15354, B=  10459, instruction = 10, F_o=  -4897
A = -15354, B=  10459, instruction = 11, F_o=  -4899
A = -15354, B=  10459, instruction = 16, F_o=  15353
A = -15354, B=  10459, instruction = 17, F_o=   5229
A = -15354, B=  10459, instruction = 18, F_o=  20918
A = -15354, B=  10459, instruction = 19, F_o= -27539
A = -13295, B=   9094, instruction =  0, F_o=  20918
A = -13295, B=   9094, instruction =  1, F_o= -13295
A = -13295, B=   9094, instruction =  2, F_o= -13294
A = -13295, B=   9094, instruction =  3, F_o= -22390
A = -13295, B=   9094, instruction =  4, F_o= -22389
A = -13295, B=   9094, instruction =  5, F_o=  -4201
A = -13295, B=   9094, instruction =  6, F_o=  -4200
A = -13295, B=   9094, instruction =  7, F_o=   9094
A = -13295, B=   9094, instruction =  8, F_o= -13296
A = -13295, B=   9094, instruction =  9, F_o=      0
A = -13295, B=   9094, instruction = 10, F_o=  -4201
A = -13295, B=   9094, instruction = 11, F_o=  -4201
A = -13295, B=   9094, instruction = 16, F_o=  13294
A = -13295, B=   9094, instruction = 17, F_o=   4547
A = -13295, B=   9094, instruction = 18, F_o=  18188
A = -13295, B=   9094, instruction = 19, F_o=   4547
A = -25071, B=   8303, instruction =  0, F_o=  18188
A = -25071, B=   8303, instruction =  1, F_o= -25071
A = -25071, B=   8303, instruction =  2, F_o= -25070
A = -25071, B=   8303, instruction =  3, F_o=  32161
A = -25071, B=   8303, instruction =  4, F_o=  32162
A = -25071, B=   8303, instruction =  5, F_o= -16768
A = -25071, B=   8303, instruction =  6, F_o= -16767
A = -25071, B=   8303, instruction =  7, F_o=   8303
A = -25071, B=   8303, instruction =  8, F_o= -25072
A = -25071, B=   8303, instruction =  9, F_o=      1
A = -25071, B=   8303, instruction = 10, F_o= -16769
A = -25071, B=   8303, instruction = 11, F_o= -16770
A = -25071, B=   8303, instruction = 16, F_o=  25070
A = -25071, B=   8303, instruction = 17, F_o=   4151
A = -25071, B=   8303, instruction = 18, F_o=  16606
A = -25071, B=   8303, instruction = 19, F_o= -28617
A =    116, B=  -8428, instruction =  0, F_o=  16606
A =    116, B=  -8428, instruction =  1, F_o=    116
A =    116, B=  -8428, instruction =  2, F_o=    117
A =    116, B=  -8428, instruction =  3, F_o=   8543
A =    116, B=  -8428, instruction =  4, F_o=   8544
A =    116, B=  -8428, instruction =  5, F_o=  -8312
A =    116, B=  -8428, instruction =  6, F_o=  -8311
A =    116, B=  -8428, instruction =  7, F_o=  -8428
A =    116, B=  -8428, instruction =  8, F_o=    115
A =    116, B=  -8428, instruction =  9, F_o=     20
A =    116, B=  -8428, instruction = 10, F_o=  -8332
A =    116, B=  -8428, instruction = 11, F_o=  -8352
A =    116, B=  -8428, instruction = 16, F_o=   -117
A =    116, B=  -8428, instruction = 17, F_o=  28554
A =    116, B=  -8428, instruction = 18, F_o= -16856
A =    116, B=  -8428, instruction = 19, F_o=  28554
A =  13726, B=  14121, instruction =  0, F_o= -16855
A =  13726, B=  14121, instruction =  1, F_o=  13726
A =  13726, B=  14121, instruction =  2, F_o=  13727
A =  13726, B=  14121, instruction =  3, F_o=   -396
A =  13726, B=  14121, instruction =  4, F_o=   -395
A =  13726, B=  14121, instruction =  5, F_o=  27847
A =  13726, B=  14121, instruction =  6, F_o=  27848
A =  13726, B=  14121, instruction =  7, F_o=  14121
A =  13726, B=  14121, instruction =  8, F_o=  13725
A =  13726, B=  14121, instruction =  9, F_o=  13576
A =  13726, B=  14121, instruction = 10, F_o=  14271
A =  13726, B=  14121, instruction = 11, F_o=    695
A =  13726, B=  14121, instruction = 16, F_o= -13727
A =  13726, B=  14121, instruction = 17, F_o=   7060
A =  13726, B=  14121, instruction = 18, F_o=  28242
A =  13726, B=  14121, instruction = 19, F_o= -25708
A =  -1153, B=  -8362, instruction =  0, F_o=  28242
A =  -1153, B=  -8362, instruction =  1, F_o=  -1153
A =  -1153, B=  -8362, instruction =  2, F_o=  -1152
A =  -1153, B=  -8362, instruction =  3, F_o=   7208
A =  -1153, B=  -8362, instruction =  4, F_o=   7209
A =  -1153, B=  -8362, instruction =  5, F_o=  -9515
A =  -1153, B=  -8362, instruction =  6, F_o=  -9514
A =  -1153, B=  -8362, instruction =  7, F_o=  -8362
A =  -1153, B=  -8362, instruction =  8, F_o=  -1154
A =  -1153, B=  -8362, instruction =  9, F_o=  -9386
A =  -1153, B=  -8362, instruction = 10, F_o=   -129
A =  -1153, B=  -8362, instruction = 11, F_o=   9257
A =  -1153, B=  -8362, instruction = 16, F_o=   1152
A =  -1153, B=  -8362, instruction = 17, F_o=  28587
A =  -1153, B=  -8362, instruction = 18, F_o= -16724
A =  -1153, B=  -8362, instruction = 19, F_o=  28587
A =  18959, B=  -2525, instruction =  0, F_o= -16723
A =  18959, B=  -2525, instruction =  1, F_o=  18959
A =  18959, B=  -2525, instruction =  2, F_o=  18960
A =  18959, B=  -2525, instruction =  3, F_o=  21483
A =  18959, B=  -2525, instruction =  4, F_o=  21484
A =  18959, B=  -2525, instruction =  5, F_o=  16434
A =  18959, B=  -2525, instruction =  6, F_o=  16435
A =  18959, B=  -2525, instruction =  7, F_o=  -2525
A =  18959, B=  -2525, instruction =  8, F_o=  18958
A =  18959, B=  -2525, instruction =  9, F_o=  16899
A =  18959, B=  -2525, instruction = 10, F_o=   -465
A =  18959, B=  -2525, instruction = 11, F_o= -17364
A =  18959, B=  -2525, instruction = 16, F_o= -18960
A =  18959, B=  -2525, instruction = 17, F_o=  31505
A =  18959, B=  -2525, instruction = 18, F_o=  -5050
A =  18959, B=  -2525, instruction = 19, F_o=  -1263
A = -30198, B= -21114, instruction =  0, F_o=  -5049
A = -30198, B= -21114, instruction =  1, F_o= -30198
A = -30198, B= -21114, instruction =  2, F_o= -30197
A = -30198, B= -21114, instruction =  3, F_o=  -9085
A = -30198, B= -21114, instruction =  4, F_o=  -9084
A = -30198, B= -21114, instruction =  5, F_o=  14224
A = -30198, B= -21114, instruction =  6, F_o=  14225
A = -30198, B= -21114, instruction =  7, F_o= -21114
A = -30198, B= -21114, instruction =  8, F_o= -30199
A = -30198, B= -21114, instruction =  9, F_o= -30718
A = -30198, B= -21114, instruction = 10, F_o= -20594
A = -30198, B= -21114, instruction = 11, F_o=  10124
A = -30198, B= -21114, instruction = 16, F_o=  30197
A = -30198, B= -21114, instruction = 17, F_o=  22211
A = -30198, B= -21114, instruction = 18, F_o=  23308
A = -30198, B= -21114, instruction = 19, F_o=  22211
A =  13420, B=  -3869, instruction =  0, F_o=  23309
A =  13420, B=  -3869, instruction =  1, F_o=  13420
A =  13420, B=  -3869, instruction =  2, F_o=  13421
A =  13420, B=  -3869, instruction =  3, F_o=  17288
A =  13420, B=  -3869, instruction =  4, F_o=  17289
A =  13420, B=  -3869, instruction =  5, F_o=   9551
A =  13420, B=  -3869, instruction =  6, F_o=   9552
A =  13420, B=  -3869, instruction =  7, F_o=  -3869
A =  13420, B=  -3869, instruction =  8, F_o=  13419
A =  13420, B=  -3869, instruction =  9, F_o=  12384
A =  13420, B=  -3869, instruction = 10, F_o=  -2833
A =  13420, B=  -3869, instruction = 11, F_o= -15217
A =  13420, B=  -3869, instruction = 16, F_o= -13421
A =  13420, B=  -3869, instruction = 17, F_o=  30833
A =  13420, B=  -3869, instruction = 18, F_o=  -7738
A =  13420, B=  -3869, instruction = 19, F_o=  -1935
A = -20275, B=  -2192, instruction =  0, F_o=  -7737
A = -20275, B=  -2192, instruction =  1, F_o= -20275
A = -20275, B=  -2192, instruction =  2, F_o= -20274
A = -20275, B=  -2192, instruction =  3, F_o= -18084
A = -20275, B=  -2192, instruction =  4, F_o= -18083
A = -20275, B=  -2192, instruction =  5, F_o= -22467
A = -20275, B=  -2192, instruction =  6, F_o= -22466
A = -20275, B=  -2192, instruction =  7, F_o=  -2192
A = -20275, B=  -2192, instruction =  8, F_o= -20276
A = -20275, B=  -2192, instruction =  9, F_o= -20416
A = -20275, B=  -2192, instruction = 10, F_o=  -2051
A = -20275, B=  -2192, instruction = 11, F_o=  18365
A = -20275, B=  -2192, instruction = 16, F_o=  20274
A = -20275, B=  -2192, instruction = 17, F_o=  31672
A = -20275, B=  -2192, instruction = 18, F_o=  -4384
A = -20275, B=  -2192, instruction = 19, F_o=  31672
A = -20275, B=  -2192, instruction = 19, F_o=  -4383
// A_B_instruction_F_o
